iter	Passed	Remaining
0	4	816
1	8	824
2	12	806
3	16	801
4	20	793
5	24	793
6	28	794
7	33	806
8	36	781
9	40	778
10	44	766
11	48	761
12	52	751
13	55	743
14	59	733
15	63	726
16	66	719
17	70	711
18	73	703
19	77	696
20	81	690
21	84	684
22	88	677
23	91	672
24	95	667
25	98	660
26	102	655
27	105	649
28	109	644
29	112	639
30	116	634
31	119	629
32	123	624
33	126	619
34	130	615
35	134	611
36	138	608
37	141	604
38	145	600
39	149	596
40	152	592
41	156	588
42	160	585
43	164	581
44	167	578
45	171	575
46	175	571
47	179	569
48	183	565
49	187	561
50	190	557
51	194	554
52	198	550
53	202	548
54	206	545
55	210	541
56	214	538
57	218	534
58	222	531
59	226	529
60	230	525
61	234	521
62	238	517
63	242	514
64	245	510
65	249	506
66	253	503
67	255	495
68	259	492
69	262	488
70	266	484
71	270	480
72	274	476
73	277	473
74	281	469
75	285	465
76	286	458
77	290	454
78	294	451
79	298	447
80	302	443
81	303	436
82	307	433
83	309	427
84	313	423
85	317	420
86	320	416
87	323	411
88	327	408
89	328	402
90	331	396
91	335	393
92	339	391
93	343	387
94	348	384
95	350	379
96	354	376
97	356	370
98	360	367
99	364	364
100	368	361
101	371	357
102	375	354
103	380	350
104	384	347
105	388	344
106	392	340
107	396	337
108	400	334
109	404	330
110	407	326
111	411	323
112	416	320
113	419	316
114	423	313
115	427	309
116	431	305
117	434	302
118	439	298
119	441	294
120	444	290
121	448	286
122	452	282
123	454	278
124	458	274
125	461	271
126	465	267
127	469	263
128	472	259
129	475	256
130	479	252
131	482	248
132	486	245
133	488	240
134	491	236
135	493	232
136	496	228
137	500	224
138	504	221
139	507	217
140	511	213
141	514	210
142	518	206
143	521	202
144	525	199
145	528	195
146	532	191
147	535	188
148	539	184
149	542	180
150	546	177
151	550	173
152	553	170
153	557	166
154	560	162
155	564	159
156	567	155
157	571	151
158	575	148
159	578	144
160	582	141
161	585	137
162	589	133
163	592	130
164	596	126
165	599	122
166	603	119
167	606	115
168	610	111
169	614	108
170	618	104
171	622	101
172	625	97
173	629	94
174	633	90
175	637	86
176	641	83
177	644	79
178	648	76
179	652	72
180	655	68
181	659	65
182	662	61
183	666	57
184	669	54
185	673	50
186	676	47
187	680	43
188	683	39
189	687	36
190	690	32
191	694	28
192	698	25
193	701	21
194	705	18
195	708	14
196	712	10
197	715	7
198	719	3
199	723	0
